Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Edit Profile,,,,2023-02-21 12:21:10,2023-02-21 12:22:55,1m - 45.076s,PASSED
,,,,,,,
Test Cases/Step Definition/Feature Edit Profile/EPR001 - Edit Profile,,,,2023-02-21 12:21:22,2023-02-21 12:22:55,1m - 33.216s,PASSED
"callTestCase(findTestCase(""Pages/Page_login/Navigate to Login Page""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:22,2023-02-21 12:21:34,11.728s,PASSED
"callTestCase(findTestCase(""Pages/Page_login/Input Email""), [""email"":""studentqa3@binar.id""], STOP_ON_FAILURE)",,,,2023-02-21 12:21:34,2023-02-21 12:21:37,3.044s,PASSED
"callTestCase(findTestCase(""Pages/Page_login/Input Password""), [""password"":""studentQA3""], STOP_ON_FAILURE)",,,,2023-02-21 12:21:37,2023-02-21 12:21:40,2.427s,PASSED
"callTestCase(findTestCase(""Pages/Page_login/Click Masuk""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:40,2023-02-21 12:21:42,2.401s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Icon Pensil""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:42,2023-02-21 12:21:43,0.695s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-21 12:21:43,2023-02-21 12:21:48,5.009s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Text Nama""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:48,2023-02-21 12:21:48,0.675s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Edit Nama""), [""nama"":""Jeje""], STOP_ON_FAILURE)",,,,2023-02-21 12:21:48,2023-02-21 12:21:52,3.331s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Button Simpan Nama""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:52,2023-02-21 12:21:52,0.855s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Label Silang Notif Sukses""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:52,2023-02-21 12:21:55,2.362s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Icon Panah Kembali""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:55,2023-02-21 12:21:56,0.695s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Icon Pensil""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:56,2023-02-21 12:21:57,1.238s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Text Nohp""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:21:57,2023-02-21 12:21:58,1.281s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Edit Nohp""), [""nohp"":""098276257""], STOP_ON_FAILURE)",,,,2023-02-21 12:21:58,2023-02-21 12:22:01,3.144s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Button Simpan Nohp""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:01,2023-02-21 12:22:02,0.808s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Label Silang Notif Sukses""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:02,2023-02-21 12:22:04,1.727s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Icon Panah Kembali""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:04,2023-02-21 12:22:06,2.000s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Icon Pensil""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:06,2023-02-21 12:22:06,0.530s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Text Kota""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:06,2023-02-21 12:22:08,1.339s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Edit Kota""), [""kota"":""Jogjakarta""], STOP_ON_FAILURE)",,,,2023-02-21 12:22:08,2023-02-21 12:22:11,3.350s,PASSED
"callTestCase(findTestCase(""Pages/Page_profile/Click Button Simpan Kota""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:22:11,2023-02-21 12:22:12,0.839s,PASSED
