Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature Register,,,,2023-02-21 12:07:03,2023-02-21 12:15:10,8m - 7.240s,PASSED
,,,,,,,
Test Cases/Step Definition/Feature Register/RGT001 - User want to register by filling all field,,,,2023-02-21 12:07:17,2023-02-21 12:08:16,58.805s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Navigate to Register Page""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:07:17,2023-02-21 12:07:35,17.382s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Nama""), [""nama"":""Mayorey237""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:35,2023-02-21 12:07:36,1.808s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Email""), [""email"":""mayorey0s5a51@gmail.com""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:36,2023-02-21 12:07:39,2.493s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Password""), [""password"":""Mayorey237""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:39,2023-02-21 12:07:41,2.476s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Nomor HP""), [""nomorhp"":""08218929391""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:41,2023-02-21 12:07:44,2.508s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Kota""), [""kota"":""Jakarta Pusat""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:44,2023-02-21 12:07:46,2.536s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Input Alamat""), [""alamat"":""Jl. Sooyay No.54""], STOP_ON_FAILURE)",,,,2023-02-21 12:07:46,2023-02-21 12:07:48,2.037s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Verify Content""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:07:48,2023-02-21 12:07:56,8.100s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Click Daftar""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:07:56,2023-02-21 12:07:58,1.544s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-21 12:07:58,2023-02-21 12:08:03,5.005s,PASSED
"callTestCase(findTestCase(""Pages/Page_home/Navigate to Menu Akun""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:08:03,2023-02-21 12:08:08,4.668s,PASSED
"callTestCase(findTestCase(""Pages/Page_akun/Log Out Account""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:08:08,2023-02-21 12:08:16,7.968s,PASSED
,,,,,,,
Test Cases/Step Definition/Feature Register/RGT002 - User want to register by not filling all field,,,,2023-02-21 12:08:16,2023-02-21 12:08:40,24.414s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Navigate to Register Page""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:08:16,2023-02-21 12:08:32,16.497s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Verify Content""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:08:32,2023-02-21 12:08:39,7.036s,PASSED
"callTestCase(findTestCase(""Pages/Page_register/Click Daftar""), [:], STOP_ON_FAILURE)",,,,2023-02-21 12:08:39,2023-02-21 12:08:40,0.667s,PASSED
,,,,,,,
Test Cases/Step Definition/Feature Register/RGT003 - User want to register by only filling Nama field,,,,2023-02-21 12:08:40,2023-02-21 12:09:08,27.594s,PASSED
